010110111111000110110111101000 ABAAAAAAAABBABAAAABBABAABABABB
011001110100010010001011111010110101001101000100001111010000100110100011011111111110111 AAAAAABBBBAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAABBBAAAAAAAAAAAABBBBAAAABBAAAAABBBBAAAAAAAAAAAAABBBAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAABBBBABBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBABBBAAAAAAAAAAAAAABBBBBAAABAAABBBBBBAAAAABBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
01 BBBBBAAAAAAA
010110111011110100 AAAABBBAAAAAAAAAAAAABBAAABBBABBBBBBAABBBBBBAAAAABAAAAAAAAA
0001111001111100100001011011011011110 AAAAAAAAAAAABBBAAAAAAAAAAAAAAAAABBBBBBBBBBBAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAABBBAAABBBBBAABBBBA
1 B
011101011101010000010001111101100000011100100000111101001010111 AAAAAABBAABBAAAAAAAAAAAAAAAAAAAAAABBBAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAAABAABBBBBBAAAAAABAAAAAABBAAABBBBBBAAAAAABBBBBB
10111011011110000100111100010001000110001001001101010011011001111100100111101010111010111010110000100101001111101001011011000110011001 BBABBAAAAAAAABAABBBABAAAABBBBBAABBAAABAAAAABABAABBBBBAAABAABBAAAAAABBAAAABAAABAAABABBAAAABAABBBABBAABAABABBBAAABBBABABBAABABABABAAABAABBAAAAABBAAAAABABBBBBBAAABABAAAAAABBAAAABBBABABBAABABBBAAAAAAAABA
111110111101100011111000000111000100100001011011 AABBBBBABBBABAABABBBAABBABAAAABBBAABAABBBAABBBBBBAAAAABABAAABABAABAAABBAAAB
001111110001100001000101110010101010110100001011110011011111111000100011110000001111011100 BABBAAABAAABAAABABBBAAAABAABABABBAABAAABAABABABBBBBAABBAAABAAAABABBBABBABBBAAABBABAABBABABABBBAAABBAABABABBBAAABAABBAAAABAABBBBBBAAABBBBABBAABBBBAABAA
010001111011101111110000100011011101111100010101101000101111010111110110101101010010111100110011000010100001111111101011 ABBABABABAAAABAABAAABAABBAABBBAABBABBABABABABBAAABBBBAAABAAAAABBBBBABBABAABBBABBAAAABBBABBBBBABBBBAABABAABBABBBABABBAABA
1000100000011110101001111111011011011010001111010101110000100101000011011101010110101101011000000 AAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAABBBABBBBBBAAAAAAAAAAAABBBAAAAAABBBBBBAAAAAAAAAAAAAAAAAABBBBAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAAAAABBBBBBAABBBBBAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAABAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAA
111000000010100100001001010010101001011011011000001100100111 BBBBABAAABBBBAAAAAAABBAABBAAAABABBAABBABAAAABABBAABABBBABBAABAAAAABABABBBAABABBAAABAAAA
0111101110110110100011000100101000000110110100010110101101010101111110010010100011010101 BABBBAAAAABBABABBAAABAAAAABAAABBBBAAABAAABAABABBBBBABABABBBABAAABABBBBBABBBAABABBABBBAAABAABBABBBBBBBBAA
0110011010101111001101 AAAAAAAAAAAAAAAAABBBBBBBBBAAAAAAAAAAAAABBBBAAAAAABBBBAAAAAAAAABBAAAAAAAAA
11001011001100001001110001111110110000101001000111 BBBAAAAAAABBBBAAAABBBAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAABBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAABBAAAAAAAAAAAAAABAAAAAAAAABBBBAABBBBBB
1110010110100101111101001110011101101110000000001101001100010111001011001110001101110101101101110101001110111111000001101110110010 BBBBBBBBBBBBAAAAAABAAAAABBBAAAAAAAAAAAAAAAAAAABBBBBAAAAABBBBBBBBBBBABBBBBBAAAAAABBBBAAAAAAAAAABBBBBAAABBBBBBBBBBBBBAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAABAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAABBBBBBAAAABBBBBBBBBBAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAABBBBBBAAAAAAAABBBBAAAAAAAAAABBBBAAAAAAAABBBBBBAAAAAABBBBBAAAAAAAAAAAABBBBBBAAAAAAAAAAAABBBBABBBBBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAABBBAAAAAAAAAAAABBBAAAA
1000101000101011001101000100011 ABAAABABAABABABAAABABBAABBBAAAAABABBBAAABAA
0 A
111011010110111111110000111100011001111100100111000110011001111011011111111000000 AAAAABBBBBBAAAAAAAAABBBBAABBBAAAAAAABBBBBAAAAABBBBBBBBBAAABBBBBBBBBAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAABBBBBBBBBAAAAAAAAAAAAAAAABBBBBBBBBBAAAAAAAABBAAAAABBBBBBBBBBBAAAAAABBBAAAAAABBBBBBBBAAAAAAABBBBBBAAAAAAABBBBBAAABBBBBAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
0100110010011101100000001010100001011011010011110111101110111010100000100100000110110101 AAAAAAABABBABAAABAABBBABBBBABBBBBBBBAAABBBBAAAABAAAABBABAABABBBBABBAAAABAAAAAABBAAAABAABBAABBABAABABAAAAAAAABAABBAABBBBBBBBBA
001001001000001000111111001110101001001101101111010111001001110001010110000010001101100100001010111001011 ABBBABABBAABABAAABABAAABAAABBBABABAAABABAABBBBABABBAABABBAABBBABBBAAABBBBBBBABBAABBBABBBBABBBAAAAAAAABBABBBAAAAABBABABAABBBBBBBBBABABABABBAABABBABBBBABAAAAA
10111011011000000001010011111101101001 AAAAAABBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBB
1010011011000111011011100010101010001011000110100101010010110011100110101110110100 BBBBBBAABBABBBAAAAABBBABBBBAAAAABBABBBABBBABBBBABBAABBBABAABBBBAAAAAAAABBBABBBBBABABAABAAABABAA
1011010110100010110100010111111111110000110001000011100100011111101110110010101100010001000111011 BBBABBBABBBAABBAAAAABABBABBAAABAABBBBAAABBBAABBAAAAABBABABBBBABBBABAAABBBAAABBAABBBBABBBBABBAABAB
00 AAAAAAAAA
0100 AAAAAAAAAAAA
01001 ABBBAB
111111110110010100101 ABAAAABABABBAABAABABBBABAAAAABABABBBBBABBBABABAABABBBABABABBAABBABABBBBAAAA
101000101010101111010101010000110111110011010111001011011110010000101110100001111101010000 AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBAAABBBAAAAAABBBBBAAAAAAAAAAAAAAABAAAAAABBBBBAABBBBBAAABBBAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBAAABBBAAAAAAAAAAAAAAAAAAAAAABAAAABBAAAAAAAABBBBBBAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAABBBBBBBBBAAAAABBBBBAAAABBBBBBAAAAAAAAAAAAAAAAAAAA
11111001110011110111001010011101011100010100010000111001 BBBBBBAAAAABBBABBBAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAAAAAABBBBABBBBBAAAAAAAAAAAAAAAAAAAABBAAAAAAABAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAABBBBBBBBBAAAAAAAAAABBBBB
1 BBBBBBAAAAAA
10011001 BBAAAAAAAAABBAAAAAAAAAA
1011010110101001011110011010011110111000111010100101011101110100110011100 ABAABAAAAABBAABBBBBBABABAAAAAABBBBAABAAAAAABBAABBBABBAABABBBBABBAAAABAAABABA
1011111100100000111111011010011010000001011110011110110110110101100 BBBBABBAAAAABBBAABBAABAAAABABABBBBAABBABBABABAAAABBBAAAAAAAAABABAAAABBBAB
11010000101111100110110111111011111010011111001111101101100000001001100111110001000101011100001100000101110111000011111000110100110110 BABBAABBBABABAAABABAABBBBBAAAAABAAABBBBAABBBBBBBBBABBABBABABABAAABABBBAAABBAAABBABBBBBAABBABBABABBAAAAABAAAABAABBBABBAAABAABBABAABABBA
